iter	Passed	Remaining
478	701	762
479	702	760
480	703	759
481	705	758
482	707	756
483	708	755
484	709	753
485	711	752
486	712	750
487	714	749
488	715	748
489	717	746
490	718	745
491	721	744
492	722	743
493	724	741
494	725	740
495	726	738
496	728	737
497	729	735
498	730	733
499	732	732
500	733	730
501	735	729
502	736	727
503	738	726
504	739	725
505	741	723
506	742	722
507	744	721
508	746	719
509	747	718
510	749	716
511	751	716
512	752	714
513	754	713
514	755	711
515	757	710
516	758	708
517	760	707
518	761	705
519	763	704
520	764	702
521	765	701
522	767	699
523	768	698
524	770	696
525	771	695
526	773	694
527	774	692
528	776	691
529	777	689
530	779	688
531	780	686
532	782	685
533	783	683
534	785	682
535	786	680
536	787	679
537	789	677
538	790	676
539	792	674
540	793	673
541	795	672
542	796	670
543	798	669
544	799	667
545	801	666
546	803	665
547	804	663
548	806	662
549	808	661
550	810	660
551	811	658
552	813	657
553	814	655
554	816	654
555	817	653
556	819	651
557	820	649
558	821	648
559	823	646
560	824	645
561	826	643
562	827	642
563	829	641
564	831	639
565	832	638
566	834	636
567	835	635
568	837	634
569	838	632
570	840	631
571	841	629
572	843	628
573	844	626
574	846	625
575	847	623
576	848	622
577	850	620
578	851	619
579	853	617
580	854	616
581	856	614
582	857	613
583	859	612
584	860	610
585	861	608
586	863	607
587	864	606
588	866	604
589	868	603
590	869	601
591	870	600
592	872	598
593	873	597
594	875	595
595	876	594
596	878	592
597	879	591
598	881	589
599	882	588
600	884	586
601	885	585
602	887	584
603	888	582
604	890	581
605	891	579
606	893	578
607	894	576
608	896	575
609	897	574
610	899	572
611	900	571
612	902	569
613	903	568
614	905	566
615	906	565
616	907	563
617	909	562
618	910	560
619	912	559
620	913	557
621	915	556
622	916	554
623	918	553
624	919	551
625	920	550
626	922	548
627	923	547
628	925	545
629	926	544
630	928	542
631	929	541
632	930	539
633	932	538
634	933	536
635	935	535
636	936	533
637	938	532
638	939	530
639	941	529
640	942	527
641	944	526
642	945	524
643	947	523
644	948	522
645	950	520
646	951	519
647	953	517
648	954	516
649	956	514
650	957	513
651	959	511
652	960	510
653	962	509
654	963	507
655	965	506
656	966	504
657	967	503
658	969	501
659	970	500
660	972	498
661	973	497
662	975	495
663	976	494
664	978	492
665	979	491
666	981	489
667	982	488
668	984	486
669	985	485
670	987	484
671	988	482
672	989	480
673	991	479
674	992	478
675	994	476
676	996	475
677	997	473
678	999	472
679	1001	471
680	1002	469
681	1004	468
682	1006	466
683	1007	465
684	1009	463
685	1010	462
686	1011	460
687	1013	459
688	1014	457
689	1015	456
690	1017	454
691	1018	453
692	1020	451
693	1021	450
694	1022	448
695	1024	447
696	1025	445
697	1027	444
698	1028	442
699	1029	441
700	1031	439
701	1032	438
702	1034	436
703	1035	435
704	1037	433
705	1038	432
706	1039	430
707	1041	429
708	1042	427
709	1044	426
710	1045	424
711	1046	423
712	1048	421
713	1049	420
714	1051	419
715	1053	417
716	1054	416
717	1055	414
718	1057	413
719	1058	411
720	1060	410
721	1061	408
722	1063	407
723	1064	405
724	1065	404
725	1067	402
726	1068	401
727	1069	399
728	1071	398
729	1072	396
730	1074	395
731	1075	393
732	1077	392
733	1078	390
734	1080	389
735	1081	387
736	1083	386
737	1084	385
738	1085	383
739	1087	382
740	1089	380
741	1090	379
742	1092	377
743	1093	376
744	1095	374
745	1096	373
746	1098	371
747	1099	370
748	1101	368
749	1102	367
750	1104	366
751	1105	364
752	1106	363
753	1108	361
754	1109	360
755	1111	358
756	1112	357
757	1114	355
758	1115	354
759	1117	352
760	1118	351
761	1120	349
762	1121	348
763	1122	346
764	1124	345
765	1125	343
766	1127	342
767	1128	340
768	1129	339
769	1131	337
770	1132	336
771	1134	334
772	1135	333
773	1137	332
774	1138	330
775	1139	329
776	1141	327
777	1142	326
778	1145	324
779	1146	323
780	1148	321
781	1149	320
782	1151	319
783	1152	317
784	1154	316
785	1156	314
786	1157	313
787	1159	311
788	1160	310
789	1161	308
790	1163	307
791	1164	305
792	1166	304
793	1167	302
794	1168	301
795	1170	299
796	1171	298
797	1173	296
798	1174	295
799	1176	294
800	1177	292
801	1178	291
802	1180	289
803	1182	288
804	1184	286
805	1185	285
806	1187	283
807	1188	282
808	1190	281
809	1191	279
810	1193	278
811	1195	276
812	1196	275
813	1198	273
814	1200	272
815	1201	271
816	1203	269
817	1205	268
818	1206	266
819	1208	265
820	1209	263
821	1211	262
822	1212	260
823	1214	259
824	1215	257
825	1217	256
826	1218	254
827	1219	253
828	1221	251
829	1222	250
830	1224	248
831	1225	247
832	1227	246
833	1228	244
834	1230	243
835	1231	241
836	1233	240
837	1234	238
838	1236	237
839	1237	235
840	1239	234
841	1240	232
842	1241	231
843	1243	229
844	1244	228
845	1246	226
846	1247	225
847	1249	223
848	1250	222
849	1252	221
850	1253	219
851	1255	218
852	1256	216
853	1258	215
854	1259	213
855	1260	212
856	1262	210
857	1264	209
858	1265	207
859	1266	206
860	1268	204
861	1270	203
862	1271	201
863	1273	200
864	1275	198
865	1276	197
866	1277	196
867	1279	194
868	1280	193
869	1282	191
870	1284	190
871	1285	188
872	1287	187
873	1288	185
874	1290	184
875	1291	182
876	1292	181
877	1294	179
878	1295	178
879	1297	176
880	1298	175
881	1300	173
882	1301	172
883	1303	171
884	1304	169
885	1306	168
886	1307	166
887	1309	165
888	1310	163
889	1312	162
890	1313	160
891	1315	159
892	1316	157
893	1317	156
894	1319	154
895	1320	153
896	1322	151
897	1323	150
898	1325	148
899	1326	147
900	1328	145
901	1329	144
902	1330	142
903	1332	141
904	1333	139
905	1335	138
906	1336	137
907	1338	135
908	1339	134
909	1341	132
910	1342	131
911	1343	129
912	1345	128
913	1346	126
914	1348	125
915	1349	123
916	1351	122
917	1352	120
918	1353	119
919	1355	117
920	1356	116
921	1358	114
